#Sección,b,Dirección General,d,Capítulo,f,Artículo,h,Concepto,j,Subconcepto,l,Derechos Reconocidos
3,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,
3,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,2977.58
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,800
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,10057.54
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,1495118.75
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS MONEDA NACIONAL,911,Préstamos recibidos a l/p,91101,Prés rec a l/p  dentro sp,2832333077.13
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,318,Otros precios públicos,31800,Otros precios públicos,66.95
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,329,Otras tasas,32900,Otras tasas,541.98
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,380,De ejercicios cerrados,38000,De ejercicios cerrados,1412.47
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,17383.05
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,13722.74
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,1171.23
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,-24959.39
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,951686.63
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",432,De diversos Ministerios,43200,De diversos Ministerios,292658.25
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,48,DE FAMILIAS E INSTIT. SFL,480,De familias e instit sfl,48000,De familias e instit sfl,15000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,49,DEL EXTERIOR,499,Otras transferencias,49900,Otras transferencias,34200
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses cuentas bancar,52000,Intereses cuentas bancar,
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,6,ENAJENACIÓN INVERSIONES R,61,DE LAS DEMÁS INVERSIONES,617,Venta equip proc informac,61700,Venta equip proc informac,40
