#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,G. Función,Des. G. Función,Función,Des. Función,Programa,Des. Programa,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Proyecto,Des. Proyecto,Proyecto de Presupuesto  2017
2,CORTES DE CASTILLA-LA MANCHA,201,CORTES DE CASTILLA-LA MANCHA,2010000,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111A,ACTIVIDAD LEGISLATIVA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,480,A familias e instituciones sin fin de lucro,48000,A familias e instituciones sin fin de lucro,G/111A/48000,,,JCCM/0000000541,PRESUPUESTO CORTES DE CASTILLA-LA MANCHA,9544000.0
2,CORTES DE CASTILLA-LA MANCHA,201,CORTES DE CASTILLA-LA MANCHA,2010000,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111A,ACTIVIDAD LEGISLATIVA,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,780,A familias e instituciones sin fin de lucro,78000,A familias e instituciones sin fin de lucro,G/111A/78000,,,JCCM/0000000541,PRESUPUESTO CORTES DE CASTILLA-LA MANCHA,50000.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retribuc básicas y otras remunerac altos cargos,10000,Retribuciones básicas,G/112B/10000,,,,,329860.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retribuc básicas y otras remunerac pers eventual,11000,Retribuciones básicas,G/112B/11000,,,,,10240.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retribuc básicas y otras remunerac pers eventual,11001,Otras remuneraciones,G/112B/11001,,,,,20080.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12000,Sueldos del Grupo A1 y Grupo A,G/112B/12000,,,,,121560.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12002,Sueldos del Grupo C1 y Grupo C,G/112B/12002,,,,,51170.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12008,Antigüedad,G/112B/12008,,,,,53460.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),121,Retribuciones complementarias,12100,Complemento de destino,G/112B/12100,,,,,127560.0
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,4010000,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),121,Retribuciones complementarias,12101,Complementos específicos,G/112B/12101,,,,,289090.0
